Row ID ,Comment,Aspect Ranks,,,,,,,Aspects,,,,,,,Sentiment
3,I think everything is OK,5,5,5,5,5,5,5,1,1,1,1,1,1,1,4
20,"Instructor needs to improve his teaching method, the way he conceives his knowledge to other is very poor, I think instructor need to work really hard to improve his teaching style. I don't know about others but I don't get anything from his lecture.",3,3,1,2,3,4,2,0,1,1,0,0,0,1,1
29,He must come in lab sessions also,5,4,5,5,4,1,4,0,0,0,0,0,1,0,2
30,We want to learn this subject from some other instructor,3,4,5,5,3,4,4,1,1,1,1,1,1,1,1
44,She makes things abstract.,5,4,4,5,4,4,3,0,0,0,0,0,0,1,3
51,She just come to the class to read the slides from the projector. I think she don't know anything about teaching. If you don't know about what you are teaching then what is the point to be a teacher. I give you a suggestion please leave this profession and do something which suits your abilities.,1,1,2,2,1,2,1,0,1,1,0,0,0,1,1
52,every thing is ok,5,5,5,4,4,4,5,1,1,1,1,1,1,1,4
69,The instructor is friendly and hard working,4,4,5,5,5,0,0,0,1,0,0,0,0,1,4
135,"Not that it's important but as you are asking, attendance should be taken regularly instead of just taking it in one class for the last ten lectures, i.e. even if you were present in last 9 you will be marked absent if you are absent in the 10th lecture",3,5,5,5,5,5,0,0,0,0,0,0,0,0,3
171,Sir is totally excellent.,5,5,5,5,5,5,0,1,1,1,1,1,1,1,5
172,Everything is fine. The method is better than we have in 1st semester.,5,5,5,5,5,5,0,0,0,0,0,0,0,1,4
179,a few students in the class try to over come the whole class and many of the students did not get chance to participate in the class. so my suggestion for the sir is that he should say those students that they speak less in the class and in this way many other students get chance to speak in the class,5,5,5,4,4,5,0,0,0,0,0,0,0,1,2
180,Different activities in the class. He teaches in a way that you never get bored and class is really enjoyable. I had never enjoyed a course like this all my life.,5,5,5,5,5,5,0,0,0,1,0,0,0,1,5
182,The module is awesome as we are learning a lot. He is a an exemplary teacher who is guiding us in all fields of life.,5,5,5,5,5,5,0,0,1,1,1,0,0,1,5
213,classes should be more interactive and funny as classes are too much boring..,4,4,3,3,3,4,0,0,0,0,0,0,0,1,2
215,There should be focus on enhancing our English speaking and hearing abilities.,4,5,4,4,5,4,0,0,0,0,0,0,0,0,2
220,"Well madam has changed the method of teaching if we compare it with the previous semester. The lectures now are more interesting, one thing that I want to add is that in this semester there are very less class discussions and no offense but teacher speaks so much which sometimes make me sleepy :-P. I want madam to make us speak more. One good thing that I want add is that my speaking is getting better which I see as a very good thing. I guess that's all, so I would say that we are going good. :-).",4,5,5,5,4,5,0,0,0,0,0,0,0,1,4
